2026-05-16 16:40:03,289 | INFO | services.validation | validating the columns type : passed
2026-05-16 16:40:03,290 | INFO | services.validation | Validating the expected values : Passed
2026-05-16 16:40:03,290 | INFO | services.validation | Validating the None , Nan ,condition : Passed
2026-05-16 16:40:03,291 | INFO | services.text_Validation | started the text validation 
2026-05-16 16:40:03,291 | INFO | services.text_Validation | started the text validation : PASSED
2026-05-16 16:40:03,291 | INFO | services.KPIs_calculation | starting the Kpi calculation
2026-05-16 16:40:03,312 | INFO | services.KPIs_calculation | Kpi calculated successfully
2026-05-16 16:40:03,313 | INFO | services.data_injection | Started data injection
2026-05-16 16:40:03,333 | INFO | services.data_injection | Data injected successfull
2026-05-16 16:40:03,333 | INFO | services.storing_aggTables | storing the aggregation tables ...
2026-05-16 16:40:03,346 | INFO | services.storing_aggTables | storage of the aggregation tables : PASSED
2026-05-16 16:44:34,948 | INFO | main |  app shutting down ...
2026-05-16 16:44:35,895 | INFO | main | App starting
2026-05-16 16:44:35,896 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 16:45:10,578 | INFO | main |  app shutting down ...
2026-05-16 16:45:11,183 | INFO | main | App starting
2026-05-16 16:45:11,183 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 16:50:02,127 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:50:02,134 | DEBUG | python_multipart.multipart | Calling on_header_field with data[57:76]
2026-05-16 16:50:02,135 | DEBUG | python_multipart.multipart | Calling on_header_value with data[78:114]
2026-05-16 16:50:02,135 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,135 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_part_data with data[118:131]
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_header_field with data[190:209]
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_header_value with data[211:247]
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_part_data with data[251:257]
2026-05-16 16:50:02,136 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_field with data[316:335]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_value with data[337:365]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_data with data[369:375]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_field with data[434:453]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_value with data[455:484]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_data with data[488:494]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_field with data[553:572]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_value with data[574:622]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_field with data[624:636]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_value with data[638:662]
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:50:02,137 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:50:02,140 | DEBUG | python_multipart.multipart | Calling on_part_data with data[666:5671]
2026-05-16 16:50:02,140 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:50:02,140 | DEBUG | python_multipart.multipart | Calling on_end with no data
2026-05-16 16:50:02,163 | INFO | routes.report_gen |  the filetype is valid
2026-05-16 16:50:02,172 | INFO | services.validation | Starting the data validation process
2026-05-16 16:50:02,253 | INFO | services.validation | Validating dataframe not empty : passed
2026-05-16 16:50:02,259 | INFO | services.validation | checking the mandatory columns : passed
2026-05-16 16:50:02,269 | INFO | services.validation | validating the columns type : passed
2026-05-16 16:50:02,276 | INFO | services.validation | Validating the expected values : Passed
2026-05-16 16:50:02,277 | INFO | services.validation | Validating the None , Nan ,condition : Passed
2026-05-16 16:50:02,278 | INFO | services.text_Validation | started the text validation 
2026-05-16 16:50:02,278 | INFO | services.text_Validation | started the text validation : PASSED
2026-05-16 16:50:02,278 | INFO | services.KPIs_calculation | starting the Kpi calculation
2026-05-16 16:50:02,347 | INFO | services.KPIs_calculation | Kpi calculated successfully
2026-05-16 16:50:02,348 | INFO | services.data_injection | Started data injection
2026-05-16 16:50:02,407 | INFO | services.data_injection | Data injected successfull
2026-05-16 16:50:02,408 | INFO | services.storing_aggTables | storing the aggregation tables ...
2026-05-16 16:50:02,444 | INFO | services.storing_aggTables | storage of the aggregation tables : PASSED
2026-05-16 16:52:11,328 | INFO | main |  app shutting down ...
2026-05-16 16:52:13,287 | INFO | main | App starting
